subject,question,optionA,optionB,optionC,optionD,answer,answerType,codeSnippet
AI_HACKTHON,What does CLI stand for?,Computer Language Interface,Command Line Interface,Code Logic Input,Central Logic Interpreter,optionB,single,
AI_HACKTHON,What is a terminal/command prompt primarily used for?,Designing user interfaces,Browsing the internet,Typing text-based commands to interact with your computer,Managing email accounts,optionC,single,
AI_HACKTHON,Which of the following is an example of a CLI command?,Clicking a button on a website,Dragging a file into a folder,Running npm install in a terminal,Opening an app from the desktop,optionC,single,
AI_HACKTHON,Why do developers prefer CLI tools over graphical interfaces for certain tasks?,CLI tools look better,CLI tools are faster scriptable and work well in automated workflows,CLI tools require no installation,CLI tools only work on Windows,optionB,single,
AI_HACKTHON,What does it mean when a tool is described as CLI-based?,It runs inside a browser,It has a colorful visual interface,It is operated through typed commands in a terminal,It requires a mouse to use,optionC,single,
AI_HACKTHON,What is OpenAI Codex CLI?,A website for writing essays,A command-line tool that uses AI to help you write and edit code,A cloud storage service,A database management tool,optionB,single,
AI_HACKTHON,Which of the following best describes what Codex CLI can do for a developer?,Deploy websites automatically,Manage SQL databases,Understand natural language instructions and generate or modify code accordingly,Send emails on behalf of developers,optionC,single,
AI_HACKTHON,What do you need to have installed before using Codex CLI?,Adobe Photoshop,Node.js,Microsoft Word,A browser extension,optionB,single,
AI_HACKTHON,During a hackathon a developer types a plain English instruction into Codex CLI. What will Codex do?,Open a browser and search Google,Send the instruction as an email,Interpret the instruction and suggest or write relevant code,Restart the computer,optionC,single,
AI_HACKTHON,What is the main benefit of using Codex CLI in a vibe coding hackathon?,It replaces the need for internet,It lets you build faster by describing what you want in plain language instead of writing every line manually,It automatically designs your UI,It manages your team's tasks,optionB,single,
AI_HACKTHON,What does the codex command do when run in a terminal?,Installs a new operating system,Opens a chat interface powered by AI to assist with coding tasks,Connects to a database,Creates a new GitHub repository,optionB,single,
AI_HACKTHON,What does MCP stand for in the context of Codex?,Main Control Panel,Model Context Protocol,Multi Command Process,Machine Code Package,optionB,single,
AI_HACKTHON,What is the purpose of MCP in an AI coding workflow?,To compress code files,To allow AI models to connect with external tools and services,To manage team permissions,To style the frontend,optionB,single,
AI_HACKTHON,In the context of Codex CLI what is a Skill?,A certification badge earned after training,A pre-defined instruction set that tells Codex how to handle specific types of tasks,A keyboard shortcut,A type of database query,optionB,single,
AI_HACKTHON,Why would a team add custom Skills to their Codex setup during a hackathon?,To change the color theme of the terminal,To give Codex consistent project-specific instructions so it generates better outputs,To slow down code generation for review,To block certain file types from being edited,optionB,single,
AI_HACKTHON,Which of the following is true about MCP servers?,They only work on macOS,They are physical servers you must buy,They act as a bridge between the AI and external tools like file systems or APIs,They replace the need for a database,optionC,single,
AI_HACKTHON,What is Supabase?,A frontend CSS framework,An open-source backend platform that provides a database authentication and APIs,A cloud hosting service for static websites,A code editor plugin,optionB,single,
AI_HACKTHON,Which type of database does Supabase use under the hood?,MongoDB,MySQL,PostgreSQL,SQLite,optionC,single,
AI_HACKTHON,During the hackathon your team needs to store user data. Which tool would you use?,Vercel,Next.js,Supabase,GitHub,optionC,single,
AI_HACKTHON,What does Supabase provide out of the box that saves developers time?,A drag-and-drop UI builder,Ready-made authentication database and real-time data features without writing a backend from scratch,A built-in code editor,Automatic CSS styling,optionB,single,
AI_HACKTHON,How does a Next.js app typically communicate with Supabase?,Through a physical USB connection,By emailing the Supabase team,Using Supabase's JavaScript SDK or REST API,Through the Vercel dashboard,optionC,single,
AI_HACKTHON,What is Vercel primarily used for?,Writing backend APIs,Managing databases,Deploying and hosting frontend and full-stack web applications,Designing logos,optionC,single,
AI_HACKTHON,What is the role of Git in a Vercel deployment workflow?,Git styles your application,Git stores your code in a repository and Vercel watches for changes to automatically deploy,Git sends your code to Supabase,Git manages your Supabase database schema,optionB,single,
AI_HACKTHON,What happens in Vercel when you push new code to your connected GitHub repository?,The old site is permanently deleted,Vercel sends you an email asking for permission,Vercel automatically triggers a new deployment with your latest changes,Nothing happens until you manually click deploy,optionC,single,
AI_HACKTHON,Which of the following best describes a deployment in the context of Vercel?,Copying code from one developer's machine to another,Making your application live and accessible on the internet,Running tests on your code locally,Pushing code to a private Git branch,optionB,single,
AI_HACKTHON,Which of the following best describes your current setup status for the hackathon?,I have installed Codex CLI and created a Supabase account — I'm fully ready,I have installed Codex CLI but haven't created a Supabase account yet,I have created a Supabase account but haven't installed Codex CLI yet,I haven't completed either — I still need to install Codex CLI and create a Supabase account,optionA,single,
